LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
llama3.1:70b,easy,explanation_length,1,35,heldout_refit_on_rule_activations,0.9703430059318233,39.64242837709441,0.31772849118970536,1.0,1.0
llama3.1:70b,easy,explanation_length,3,35,heldout_refit_on_rule_activations,0.976340196070666,37.869564754568934,0.3177425681024929,1.0,1.0
llama3.1:70b,easy,explanation_length,10,35,heldout_refit_on_rule_activations,0.9788950741831498,37.1516953078843,0.317738352268989,1.0,1.0
llama3.1,easy,information_overload,1,91,heldout_refit_on_rule_activations,0.019553830103603898,0.5223096169260691,0.11486853789162235,1.0,1.0
llama3.1,easy,information_overload,3,91,heldout_refit_on_rule_activations,0.08701086472684649,0.5185011932191553,0.24577885311448075,1.0,1.0
llama3.1,easy,information_overload,10,91,heldout_refit_on_rule_activations,0.16127027814124317,0.5044766475413522,0.34591677373103485,1.0,1.0
gpt-4o,hard,information_overload,1,155,heldout_refit_on_rule_activations,0.005712397547007697,1.0389524652924378,0.08608252827534937,0.4681094134224132,0.36645962732919257
gpt-4o,hard,information_overload,3,155,heldout_refit_on_rule_activations,0.47221292064216924,0.6409365676459607,0.7351217485829883,0.8264527837813243,0.8796667695155816
gpt-4o,hard,information_overload,10,155,heldout_refit_on_rule_activations,0.8246921336479693,0.294217421700532,0.8943166324872146,0.933367672512308,0.9330628803245437
llama3.1,hard,gunning_fog,1,90,heldout_refit_on_rule_activations,0.3846100367014984,3.2730469317995863,0.6428629522462462,0.07579433248958686,0.7756410256410257
llama3.1,hard,gunning_fog,3,90,heldout_refit_on_rule_activations,0.3968084795686584,3.22061862581527,0.6513118125599727,1.0,1.0
llama3.1,hard,gunning_fog,10,90,heldout_refit_on_rule_activations,0.48107070163412957,3.0004852169853486,0.6743210732052387,1.0,1.0
gpt-4o-mini,medium,information_overload,1,88,heldout_refit_on_rule_activations,0.3007924872620016,0.45051010739957836,0.5663601242525719,1.0,1.0
gpt-4o-mini,medium,information_overload,3,88,heldout_refit_on_rule_activations,0.31082463909309144,0.444410662363344,0.5195633466993762,1.0,1.0
gpt-4o-mini,medium,information_overload,10,88,heldout_refit_on_rule_activations,0.34294120495091274,0.42558999804483916,0.5619358449026826,1.0,1.0
llama3.1:70b,medium,oversimplification,1,66,heldout_refit_on_rule_activations,0.019320157253553405,0.9585053867595642,0.14180869294573642,-0.055580202334278045,0.0
llama3.1:70b,medium,oversimplification,3,66,heldout_refit_on_rule_activations,0.15144259534824633,0.8265339120271098,0.3734084688171149,-0.04581546249655879,0.0
llama3.1:70b,medium,oversimplification,10,66,heldout_refit_on_rule_activations,0.20312841628982536,0.7794196950977573,0.43181857353402053,0.16825204060954033,0.12841987716359576
llama3.1,medium,subjectivity_score_nn,1,78,heldout_refit_on_rule_activations,0.8391925137191716,0.08170065343134104,0.8057815735622152,0.9997835850369137,0.9999294831112051
llama3.1,medium,subjectivity_score_nn,3,78,heldout_refit_on_rule_activations,0.8430410728127247,0.07958727626482465,0.8066917960996113,1.0,1.0
