source_row,perturbation_id,metric,min_tie_count,tie_output_std,tie_output_range,selected_minus_tie_mean_abs
1485,0,explanation_length,1,0.0,0.0,0.0
1485,0,subjectivity_score_nn,1,0.0,0.0,0.0
1485,0,gunning_fog,1,0.0,0.0,0.0
1485,0,sentiment_score_nn,1,0.0,0.0,0.0
1485,0,framing_effect,1,0.0,0.0,0.0
1485,0,information_overload,1,0.0,0.0,0.0
1485,0,oversimplification,1,0.0,0.0,0.0
1485,1,explanation_length,1,0.0,0.0,0.0
1485,1,subjectivity_score_nn,1,0.0,0.0,0.0
1485,1,gunning_fog,1,0.0,0.0,0.0
1485,1,sentiment_score_nn,1,0.0,0.0,0.0
1485,1,framing_effect,1,0.0,0.0,0.0
1485,1,information_overload,1,0.0,0.0,0.0
1485,1,oversimplification,1,0.0,0.0,0.0
1485,2,explanation_length,1,0.0,0.0,0.0
1485,2,subjectivity_score_nn,1,0.0,0.0,0.0
1485,2,gunning_fog,1,0.0,0.0,0.0
1485,2,sentiment_score_nn,1,0.0,0.0,0.0
1485,2,framing_effect,1,0.0,0.0,0.0
1485,2,information_overload,1,0.0,0.0,0.0
1485,2,oversimplification,1,0.0,0.0,0.0
1485,3,explanation_length,1,0.0,0.0,0.0
1485,3,subjectivity_score_nn,1,0.0,0.0,0.0
1485,3,gunning_fog,1,0.0,0.0,0.0
1485,3,sentiment_score_nn,1,0.0,0.0,0.0
1485,3,framing_effect,1,0.0,0.0,0.0
1485,3,information_overload,1,0.0,0.0,0.0
1485,3,oversimplification,1,0.0,0.0,0.0
1485,4,explanation_length,1,0.0,0.0,0.0
1485,4,subjectivity_score_nn,1,0.0,0.0,0.0
1485,4,gunning_fog,1,0.0,0.0,0.0
1485,4,sentiment_score_nn,1,0.0,0.0,0.0
1485,4,framing_effect,1,0.0,0.0,0.0
1485,4,information_overload,1,0.0,0.0,0.0
1485,4,oversimplification,1,0.0,0.0,0.0
1485,5,explanation_length,1,0.0,0.0,0.0
1485,5,subjectivity_score_nn,1,0.0,0.0,0.0
1485,5,gunning_fog,1,0.0,0.0,0.0
1485,5,sentiment_score_nn,1,0.0,0.0,0.0
1485,5,framing_effect,1,0.0,0.0,0.0
1485,5,information_overload,1,0.0,0.0,0.0
1485,5,oversimplification,1,0.0,0.0,0.0
1485,6,explanation_length,1,0.0,0.0,0.0
1485,6,subjectivity_score_nn,1,0.0,0.0,0.0
1485,6,gunning_fog,1,0.0,0.0,0.0
1485,6,sentiment_score_nn,1,0.0,0.0,0.0
1485,6,framing_effect,1,0.0,0.0,0.0
1485,6,information_overload,1,0.0,0.0,0.0
1485,6,oversimplification,1,0.0,0.0,0.0
1485,7,explanation_length,1,0.0,0.0,0.0
1485,7,subjectivity_score_nn,1,0.0,0.0,0.0
1485,7,gunning_fog,1,0.0,0.0,0.0
1485,7,sentiment_score_nn,1,0.0,0.0,0.0
1485,7,framing_effect,1,0.0,0.0,0.0
1485,7,information_overload,1,0.0,0.0,0.0
1485,7,oversimplification,1,0.0,0.0,0.0
1485,8,explanation_length,1,0.0,0.0,0.0
1485,8,subjectivity_score_nn,1,0.0,0.0,0.0
1485,8,gunning_fog,1,0.0,0.0,0.0
1485,8,sentiment_score_nn,1,0.0,0.0,0.0
1485,8,framing_effect,1,0.0,0.0,0.0
1485,8,information_overload,1,0.0,0.0,0.0
1485,8,oversimplification,1,0.0,0.0,0.0
1485,9,explanation_length,1,0.0,0.0,0.0
1485,9,subjectivity_score_nn,1,0.0,0.0,0.0
1485,9,gunning_fog,1,0.0,0.0,0.0
1485,9,sentiment_score_nn,1,0.0,0.0,0.0
1485,9,framing_effect,1,0.0,0.0,0.0
1485,9,information_overload,1,0.0,0.0,0.0
1485,9,oversimplification,1,0.0,0.0,0.0
1485,10,explanation_length,45,42.222456139702906,183.0,75.55555555555554
