LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
llama3.1:70b,easy,explanation_length,1,27,heldout_refit_on_rule_activations,0.5604550225490433,119.83522394078622,0.22565169719357359,0.6908537635082288,0.6545454545454545
llama3.1:70b,easy,explanation_length,3,27,heldout_refit_on_rule_activations,0.9754712332088592,36.727019219703244,0.3177458288259285,0.8953396459133516,0.8934579439252337
llama3.1:70b,easy,explanation_length,10,27,heldout_refit_on_rule_activations,0.9756916619615433,37.18393226496527,0.3177279298374391,0.9680126298328813,0.9686411149825784
llama3.1,easy,information_overload,1,136,heldout_refit_on_rule_activations,0.005834271624180154,0.5293354719541618,0.06941817196316029,0.5035413349991125,0.4057971014492754
llama3.1,easy,information_overload,3,136,heldout_refit_on_rule_activations,0.008987080611185805,0.5274899041054638,0.06501147460968028,0.5035413349991125,0.4057971014492754
llama3.1,easy,information_overload,10,136,heldout_refit_on_rule_activations,0.08414593672753434,0.4894699451738857,0.20251419968161416,0.5035413349991125,0.4057971014492754
gpt-4o,hard,information_overload,1,48,heldout_refit_on_rule_activations,0.4549682449880098,0.6564698476370591,0.7346444785631312,0.7765847866269543,0.8375220105650713
gpt-4o,hard,information_overload,3,48,heldout_refit_on_rule_activations,0.7305879161662563,0.3827163069385502,0.8645498403246719,0.7765847866269543,0.8375220105650713
gpt-4o,hard,information_overload,10,48,heldout_refit_on_rule_activations,0.7770271506552455,0.34179233439313433,0.8795175434838508,0.7834078471298902,0.7640449438202247
llama3.1,hard,gunning_fog,1,72,heldout_refit_on_rule_activations,0.027251584381825178,4.327666512546072,0.15524161681867152,0.6473533545428469,0.5988023952095808
llama3.1,hard,gunning_fog,3,72,heldout_refit_on_rule_activations,0.07458858795514489,4.274461293544057,0.2198484296204694,0.6473533545428469,0.5988023952095808
llama3.1,hard,gunning_fog,10,72,heldout_refit_on_rule_activations,0.4807514935443259,3.0250008717954433,0.6641477305005857,0.6473533545428469,0.5988023952095808
gpt-4o-mini,medium,information_overload,1,75,heldout_refit_on_rule_activations,0.01283301638663148,0.5594907518224185,0.08788917739084018,0.9072862975694118,0.9032258064516129
gpt-4o-mini,medium,information_overload,3,75,heldout_refit_on_rule_activations,0.1423676399448206,0.4892185326666842,0.39145944679424477,0.9072862975694118,0.9032258064516129
gpt-4o-mini,medium,information_overload,10,75,heldout_refit_on_rule_activations,0.29941924135641185,0.44566638130539626,0.5535218350434906,0.9072862975694118,0.9032258064516129
llama3.1:70b,medium,oversimplification,1,112,heldout_refit_on_rule_activations,0.010808105669850132,0.9655804759857008,0.10777620454755207,-0.026213760227437148,0.0
llama3.1:70b,medium,oversimplification,3,112,heldout_refit_on_rule_activations,0.05841309803924777,0.9250094342483476,0.24206010130399278,0.9709610330469293,0.9712918660287081
llama3.1:70b,medium,oversimplification,10,112,heldout_refit_on_rule_activations,0.19923237008736971,0.7833066732205421,0.42571849891877545,0.9709610330469293,0.9712918660287081
llama3.1,medium,subjectivity_score_nn,1,24,heldout_refit_on_rule_activations,0.8394720170061499,0.08218514244156966,0.8055349190075469,0.9980551205315951,0.9993649897692796
llama3.1,medium,subjectivity_score_nn,3,24,heldout_refit_on_rule_activations,0.844706452269021,0.07952437994499044,0.7936710434511791,0.9980551205315951,0.9993649897692796
llama3.1,medium,subjectivity_score_nn,10,24,heldout_refit_on_rule_activations,0.8459244975099315,0.07910713954006696,0.7069915003738075,0.9980551205315951,0.9993649897692796
gpt-3.5-turbo,medium,explanation_length,1,8,heldout_refit_on_rule_activations,0.831751585250939,36.43175381104096,0.169678915637404,0.9782553871599626,0.9782608695652174
gpt-3.5-turbo,medium,explanation_length,3,8,heldout_refit_on_rule_activations,0.8464412082340129,31.96713327696322,0.4971284940318476,0.9782553871599626,0.9782608695652174
gpt-3.5-turbo,medium,explanation_length,10,8,heldout_refit_on_rule_activations,0.8479378767512527,31.667195701812496,0.47971395700877484,0.9782553871599626,0.9782608695652174
llama3.1,hard,oversimplification,1,83,heldout_refit_on_rule_activations,0.007486220143369526,0.3468075269663965,0.09942540697199359,-0.014600823964865626,0.0
llama3.1,hard,oversimplification,3,83,heldout_refit_on_rule_activations,0.03230392889009692,0.33786746785878297,0.19658100770244955,-0.014600823964865626,0.0
llama3.1,hard,oversimplification,10,83,heldout_refit_on_rule_activations,0.13237032019452788,0.3401644978083672,0.3476622742106539,0.030145568275618605,0.05834683954619125
gpt-4o,hard,explanation_length,1,24,heldout_refit_on_rule_activations,0.972141845483448,70.90143256033026,0.42529512705689526,1.0,1.0
gpt-4o,hard,explanation_length,3,24,heldout_refit_on_rule_activations,0.9775757765354374,59.37373176375512,0.7352238955682591,1.0,1.0
gpt-4o,hard,explanation_length,10,24,heldout_refit_on_rule_activations,0.9838536980161371,42.599475779248756,0.8574904617165875,1.0,1.0
gpt-4o-mini,easy,explanation_length,1,9,heldout_refit_on_rule_activations,0.9845327385940003,42.07728596209532,0.5090380074288026,1.0,1.0
gpt-4o-mini,easy,explanation_length,3,9,heldout_refit_on_rule_activations,0.985357425964529,40.851440517586724,0.5087766668614472,1.0,1.0
gpt-4o-mini,easy,explanation_length,10,9,heldout_refit_on_rule_activations,0.9854468426563628,39.588955740837235,0.4745815506386305,1.0,1.0
gpt-3.5-turbo,hard,explanation_length,1,10,heldout_refit_on_rule_activations,0.8308670011559713,45.48622307354949,0.19737512536050342,0.9782553298768587,0.9782608695652174
gpt-3.5-turbo,hard,explanation_length,3,10,heldout_refit_on_rule_activations,0.8646922166047615,36.98681798446929,0.45097557705870256,0.9782553298768587,0.9782608695652174
gpt-3.5-turbo,hard,explanation_length,10,10,heldout_refit_on_rule_activations,0.8722693659134511,32.30664665936297,0.5963817207955516,0.9782553298768587,0.9782608695652174
llama3.1,hard,information_overload,1,49,heldout_refit_on_rule_activations,0.12804039772066944,0.7221655798356537,0.30420497390582224,0.2828952396243752,0.20523560209424083
llama3.1,hard,information_overload,3,49,heldout_refit_on_rule_activations,0.3669375908008038,0.5330629839414005,0.5779438647166615,0.6637270205450604,0.6194331983805668
llama3.1,hard,information_overload,10,49,heldout_refit_on_rule_activations,0.5224652310037488,0.4885618493908067,0.621594780449162,0.6637270205450604,0.6194331983805668
llama3.1:70b,hard,gunning_fog,1,41,heldout_refit_on_rule_activations,0.017101116746471634,6.233797955480404,0.13398962518451765,0.10670786463638772,0.05849056603773585
llama3.1:70b,hard,gunning_fog,3,41,heldout_refit_on_rule_activations,0.35803599137415176,4.827712169380809,0.6026360891449676,0.5122176285418687,0.6573590814196242
llama3.1:70b,hard,gunning_fog,10,41,heldout_refit_on_rule_activations,0.6099706198107986,3.6312765497309707,0.7579101680315132,0.7367640999364572,0.7905027932960894
gpt-4o,easy,information_overload,1,38,heldout_refit_on_rule_activations,0.39902903617811325,0.03287140087651996,0.6200559882782041,0.6897877597529514,0.6496350364963503
gpt-4o,easy,information_overload,3,38,heldout_refit_on_rule_activations,0.7695577689685343,0.012975487884042845,0.8988119449767693,0.9748660366403843,0.9750692520775623
gpt-4o,easy,information_overload,10,38,heldout_refit_on_rule_activations,0.7723154177948274,0.013131768036565275,0.2751341458206098,0.9748660366403843,0.9750692520775623
gpt-4o,medium,explanation_length,1,23,heldout_refit_on_rule_activations,0.9843609716512519,42.110670044299,0.425301260595846,1.0,1.0
gpt-4o,medium,explanation_length,3,23,heldout_refit_on_rule_activations,0.9849507680278515,41.60128161015187,0.4252285470710079,1.0,1.0
gpt-4o,medium,explanation_length,10,23,heldout_refit_on_rule_activations,0.9865858479129783,35.655941271366686,0.6979144081251533,1.0,1.0
llama3.1:70b,hard,explanation_length,1,25,heldout_refit_on_rule_activations,0.8877518977531136,106.51369020522912,0.28336754506327005,1.0,1.0
llama3.1:70b,hard,explanation_length,3,25,heldout_refit_on_rule_activations,0.9019734354198524,97.20650005016152,0.4847148278446826,1.0,1.0
llama3.1:70b,hard,explanation_length,10,25,heldout_refit_on_rule_activations,0.9498814597448021,52.82595319111599,0.86495963127123,1.0,1.0
gpt-3.5-turbo,hard,subjectivity_score_nn,1,17,heldout_refit_on_rule_activations,0.4179736267343823,0.24611812031018238,0.556552655093504,0.7952203787947031,0.8228260869565217
gpt-3.5-turbo,hard,subjectivity_score_nn,3,17,heldout_refit_on_rule_activations,0.4458282898400946,0.23775252380584408,0.5107519720239048,0.7952203787947031,0.8228260869565217
gpt-3.5-turbo,hard,subjectivity_score_nn,10,17,heldout_refit_on_rule_activations,0.5702097154947938,0.19482793387310648,0.575756567911854,0.9473589969620987,0.985412227503688
gpt-4o-mini,medium,framing_effect,1,21,heldout_refit_on_rule_activations,0.7420558448435632,0.1979579675141024,0.9106427195374032,1.0,1.0
gpt-4o-mini,medium,framing_effect,3,21,heldout_refit_on_rule_activations,0.7671747834290397,0.17510708494994875,0.9134189664932699,1.0,1.0
gpt-4o-mini,medium,framing_effect,10,21,heldout_refit_on_rule_activations,0.7750737548171105,0.17224641473421143,0.9165490115309938,1.0,1.0
gpt-4o,hard,subjectivity_score_nn,1,72,heldout_refit_on_rule_activations,0.007257482056770237,0.4282711570774059,0.07843782157806133,0.09820186246284741,0.03197831978319783
gpt-4o,hard,subjectivity_score_nn,3,72,heldout_refit_on_rule_activations,0.5237548538778336,0.21956341239604107,0.6695395397997386,0.737539001633494,0.8018478798878073
gpt-4o,hard,subjectivity_score_nn,10,72,heldout_refit_on_rule_activations,0.5498929973693666,0.20975005903829003,0.6451109847733142,0.737539001633494,0.8018478798878073
gpt-4o-mini,hard,subjectivity_score_nn,1,28,heldout_refit_on_rule_activations,0.4128197890150185,0.22536597892256757,0.5277947514591923,0.6270229539093322,0.6558481322718922
gpt-4o-mini,hard,subjectivity_score_nn,3,28,heldout_refit_on_rule_activations,0.6636249691279873,0.14205803990357804,0.5717387544205748,0.6270229539093322,0.6558481322718922
gpt-4o-mini,hard,subjectivity_score_nn,10,28,heldout_refit_on_rule_activations,0.7052962646179661,0.1326254670413024,0.5891599695360424,0.7307653692990628,0.8774675012036591
gpt-4o,medium,information_overload,1,46,heldout_refit_on_rule_activations,0.19167064842764525,0.615476425059077,0.349859290317212,0.8032541557471002,0.7953091684434968
gpt-4o,medium,information_overload,3,46,heldout_refit_on_rule_activations,0.5999137646397344,0.2500222299135242,0.7929857751215338,0.9320564693682419,0.9573582196697774
gpt-4o,medium,information_overload,10,46,heldout_refit_on_rule_activations,0.6271433410504103,0.26189540407839457,0.7925668720617856,0.9320564693682419,0.9573582196697774
gpt-4o,medium,subjectivity_score_nn,1,64,heldout_refit_on_rule_activations,0.02498607709880518,0.44437922927682943,0.1475700982193559,0.16733523399455,0.12308799712074861
gpt-4o,medium,subjectivity_score_nn,3,64,heldout_refit_on_rule_activations,0.19184786034073287,0.37080140956607854,0.38521851096813325,0.45114941229774025,0.4643687883273419
gpt-4o,medium,subjectivity_score_nn,10,64,heldout_refit_on_rule_activations,0.32423882833715567,0.3297749758427798,0.5451039020258768,0.45114941229774025,0.4643687883273419
gpt-3.5-turbo,hard,information_overload,1,33,heldout_refit_on_rule_activations,0.2998410601536313,0.6660348224993248,0.6599104944246243,0.9707175594663444,0.9778197262859839
gpt-3.5-turbo,hard,information_overload,3,33,heldout_refit_on_rule_activations,0.4592199398813088,0.5429722105844919,0.7252850927958785,0.9707175594663444,0.9778197262859839
gpt-3.5-turbo,hard,information_overload,10,33,heldout_refit_on_rule_activations,0.4810616975670151,0.5366842515809501,0.6709715308198514,0.9707175594663444,0.9778197262859839
llama3.1:70b,medium,subjectivity_score_nn,1,37,heldout_refit_on_rule_activations,0.014753565997231544,0.34489530715247746,0.08953969876556149,0.1381215291977746,0.1265267773253993
llama3.1:70b,medium,subjectivity_score_nn,3,37,heldout_refit_on_rule_activations,0.8727070404102317,0.05789180914803775,0.723148028746021,0.8874533732539804,0.9650519031141869
llama3.1:70b,medium,subjectivity_score_nn,10,37,heldout_refit_on_rule_activations,0.8812231760962751,0.05452818299978836,0.690101022959091,0.8904647486847272,0.9661251296232285
llama3.1:70b,medium,information_overload,1,94,heldout_refit_on_rule_activations,0.17856336111600246,0.45047517663261116,0.5012504266036042,0.9754282368518933,0.9816832830976119
llama3.1:70b,medium,information_overload,3,94,heldout_refit_on_rule_activations,0.20665649296142152,0.44124331737200734,0.48848876928384644,0.9754282368518933,0.9816832830976119
llama3.1:70b,medium,information_overload,10,94,heldout_refit_on_rule_activations,0.2767451598211669,0.4103635819942524,0.5647959894301661,0.9754282368518933,0.9816832830976119
llama3.1,easy,oversimplification,1,59,heldout_refit_on_rule_activations,0.012071291381384186,0.5016308673970744,0.11566788487301508,0.010732831857106443,0.014598540145985401
llama3.1,easy,oversimplification,3,59,heldout_refit_on_rule_activations,0.01738862845020972,0.4989304303538716,0.13129210531019328,0.010732831857106443,0.014598540145985401
llama3.1,easy,oversimplification,10,59,heldout_refit_on_rule_activations,0.03827430806539811,0.4902649327203401,0.18969389119162722,0.08061263742408305,0.03690036900369004
llama3.1,medium,framing_effect,1,52,heldout_refit_on_rule_activations,0.14489565049708808,0.8324692260008112,0.31926240060586175,0.2948858715868314,0.22031696544557028
llama3.1,medium,framing_effect,3,52,heldout_refit_on_rule_activations,0.23861500108517986,0.7852523908928477,0.44229227603111965,0.39438146010519354,0.35336538461538464
llama3.1,medium,framing_effect,10,52,heldout_refit_on_rule_activations,0.6499422533338265,0.5159313234080072,0.7042816565281487,0.6255682484262068,0.6560721993329409
llama3.1:70b,hard,framing_effect,1,47,heldout_refit_on_rule_activations,0.3962775580380774,0.5180415353698966,0.3822047957597538,0.3325140974433283,0.2536779324055666
llama3.1:70b,hard,framing_effect,3,47,heldout_refit_on_rule_activations,0.7327956466136027,0.30855872924652933,0.6838412529990088,0.5083744485669179,0.721871994871247
llama3.1:70b,hard,framing_effect,10,47,heldout_refit_on_rule_activations,0.7600201782828991,0.28171260480059845,0.7145204846250361,0.5083744485669179,0.721871994871247
gpt-4o-mini,medium,oversimplification,1,42,heldout_refit_on_rule_activations,0.05720294170153373,0.5805988605158608,0.20858639767319923,-0.006977287167307175,0.0
gpt-4o-mini,medium,oversimplification,3,42,heldout_refit_on_rule_activations,0.11588684455236131,0.5333312075563414,0.32221678597930664,-0.00685666509017003,0.0
gpt-4o-mini,medium,oversimplification,10,42,heldout_refit_on_rule_activations,0.4022962760106361,0.4187625965806251,0.6052764314052176,0.05006681355885667,0.01866251944012442
gpt-4o-mini,medium,subjectivity_score_nn,1,22,heldout_refit_on_rule_activations,0.47943188114759594,0.21498990678405389,0.5876479884684703,0.7365240778003131,0.7771587743732591
gpt-4o-mini,medium,subjectivity_score_nn,3,22,heldout_refit_on_rule_activations,0.6551523111696326,0.1538634062810405,0.6978787261848992,0.8082784202099018,0.9217250549196438
gpt-4o-mini,medium,subjectivity_score_nn,10,22,heldout_refit_on_rule_activations,0.7598009722628573,0.12141295096527535,0.6651950414308119,0.8082784202099018,0.9217250549196438
gpt-4o,hard,gunning_fog,1,62,heldout_refit_on_rule_activations,0.04409464546484276,4.738123425926617,0.1898127476248098,1.0,1.0
gpt-4o,hard,gunning_fog,3,62,heldout_refit_on_rule_activations,0.48721970140873616,3.341308152259511,0.6650606885837238,1.0,1.0
gpt-4o,hard,gunning_fog,10,62,heldout_refit_on_rule_activations,0.6526774306945374,2.8157474766836637,0.7601814296242997,1.0,1.0
llama3.1:70b,medium,framing_effect,1,50,heldout_refit_on_rule_activations,0.14011672591157553,0.840280420918023,0.3099424103104397,0.3541689254357269,0.28169014084507044
llama3.1:70b,medium,framing_effect,3,50,heldout_refit_on_rule_activations,0.3275517420562506,0.7579469709578025,0.5007370318848093,0.37771635199188114,0.31271609681137147
llama3.1:70b,medium,framing_effect,10,50,heldout_refit_on_rule_activations,0.6277796465331713,0.564146677680382,0.64638872850769,0.689729666313611,0.8711077561804114
gpt-4o-mini,hard,explanation_length,1,56,heldout_refit_on_rule_activations,0.5101507907333411,40.474542618825126,0.06603584699032745,0.8040471431134302,0.7857142857142857
gpt-4o-mini,hard,explanation_length,3,56,heldout_refit_on_rule_activations,0.8300418206806901,38.05380147992909,0.08090673584587973,0.9072862975694118,0.9032258064516129
gpt-4o-mini,hard,explanation_length,10,56,heldout_refit_on_rule_activations,0.8298820773074568,37.94358481982216,0.10981166493282037,1.0,1.0
gpt-3.5-turbo,easy,information_overload,1,5,heldout_refit_on_rule_activations,0.7818112542654876,0.02752941366947349,0.7579658018333333,1.0,1.0
gpt-3.5-turbo,easy,information_overload,3,5,heldout_refit_on_rule_activations,0.7851339529866546,0.027219682946847932,0.19853400430688967,1.0,1.0
gpt-3.5-turbo,easy,information_overload,10,5,heldout_refit_on_rule_activations,0.7854226886783141,0.02871007679647111,0.20461038404464593,1.0,1.0
gpt-4o,easy,explanation_length,1,27,heldout_refit_on_rule_activations,0.9816251760852115,27.460416526762053,0.2606280370782287,1.0,1.0
gpt-4o,easy,explanation_length,3,27,heldout_refit_on_rule_activations,0.9828632214252541,27.563565913061904,0.26062551751954705,1.0,1.0
gpt-4o,easy,explanation_length,10,27,heldout_refit_on_rule_activations,0.982071553675436,27.729692685693855,0.2606133683751893,1.0,1.0
gpt-3.5-turbo,easy,explanation_length,1,25,heldout_refit_on_rule_activations,0.9444962778174347,26.474883724461154,0.15783685793976676,1.0,1.0
gpt-3.5-turbo,easy,explanation_length,3,25,heldout_refit_on_rule_activations,0.9480452919037321,26.427806942065217,0.15783597951219758,1.0,1.0
gpt-3.5-turbo,easy,explanation_length,10,25,heldout_refit_on_rule_activations,0.951674390107907,24.070243965371407,0.40919351214831634,1.0,1.0
llama3.1,medium,explanation_length,1,29,heldout_refit_on_rule_activations,0.3164406793208028,175.54908154172998,0.1355397722600726,0.41257066304272183,0.3005366726296959
llama3.1,medium,explanation_length,3,29,heldout_refit_on_rule_activations,0.9469009106815264,72.48663502835538,0.3468415244406788,0.9035094948930953,0.9030023094688222
llama3.1,medium,explanation_length,10,29,heldout_refit_on_rule_activations,0.9457111527451675,71.81625305307719,0.346830315642611,0.9035094948930953,0.9030023094688222
gpt-3.5-turbo,medium,subjectivity_score_nn,1,13,heldout_refit_on_rule_activations,0.35071218055797304,0.26792990740803846,0.5075446424636134,0.7492884061151329,0.7755794234030525
gpt-3.5-turbo,medium,subjectivity_score_nn,3,13,heldout_refit_on_rule_activations,0.45674024463916507,0.23393501584844692,0.53888332764729,0.8041992128336135,0.8317152103559871
gpt-3.5-turbo,medium,subjectivity_score_nn,10,13,heldout_refit_on_rule_activations,0.563133916217744,0.19689014748272188,0.5624724015682747,0.9179102947896529,0.9763597288808068
llama3.1,easy,explanation_length,1,24,heldout_refit_on_rule_activations,0.9438472904993401,28.596939502106284,0.12479770560620822,1.0,1.0
llama3.1,easy,explanation_length,3,24,heldout_refit_on_rule_activations,0.9563790962238176,27.928989860879966,0.12479771074008693,1.0,1.0
llama3.1,easy,explanation_length,10,24,heldout_refit_on_rule_activations,0.9596276407889444,27.48714641265239,0.22898181167470863,1.0,1.0
llama3.1:70b,hard,information_overload,1,21,heldout_refit_on_rule_activations,0.1712958287588504,1.340300993607785,0.40427625322124594,0.45599876547010804,0.41786743515850144
llama3.1:70b,hard,information_overload,3,21,heldout_refit_on_rule_activations,0.2715462915691722,1.2118346752723184,0.5042502767267457,0.7761408467357895,0.8055480010878433
llama3.1:70b,hard,information_overload,10,21,heldout_refit_on_rule_activations,0.8341614469363121,0.4812202083544564,0.8068528085202092,0.8651583503931731,0.941358024691358
gpt-4o,medium,framing_effect,1,28,heldout_refit_on_rule_activations,0.782790948015507,0.24191036382697936,0.9332979541825296,1.0,1.0
gpt-4o,medium,framing_effect,3,28,heldout_refit_on_rule_activations,0.7922497737475863,0.2381096994537666,0.9257218824877944,1.0,1.0
gpt-4o,medium,framing_effect,10,28,heldout_refit_on_rule_activations,0.8299116458726201,0.19745820735010575,0.9163043947106253,1.0,1.0
gpt-3.5-turbo,medium,information_overload,1,31,heldout_refit_on_rule_activations,0.30188015281612657,0.5397293136888678,0.6644370953392272,0.9894077086284027,0.9920893438808748
gpt-3.5-turbo,medium,information_overload,3,31,heldout_refit_on_rule_activations,0.30074038961218374,0.54021781472376,0.5363936080994016,0.9894077086284027,0.9920893438808748
